ghi,clear_sky_ghi,temp,humidity,district
7.1854,7.3502,32.59,27.52,Gurugram
6.3425,7.122,33.29,28.57,Gurugram
7.4383,7.507,34.2,24.12,Gurugram
7.5888,7.6032,34.53,22.21,Gurugram
7.4482,7.5098,36.9,19.2,Gurugram
5.0813,7.0231,38.07,16.77,Gurugram
7.5502,7.6255,35.84,17.4,Gurugram
7.7539,7.7784,36.13,16.94,Gurugram
7.9368,7.9783,37.07,16.35,Gurugram
7.4726,7.669,37.03,14.56,Gurugram
7.1834,7.289,37.27,13.75,Gurugram
6.9478,7.4798,36.73,11.29,Gurugram
7.4424,7.6966,36.28,10.82,Gurugram
8.4024,8.4245,34.18,6.37,Gurugram
7.2754,7.5418,35.25,10.51,Gurugram
7.1064,7.4863,36.25,21.29,Gurugram
7.6152,7.6668,36.43,21.5,Gurugram
6.7716,7.5386,36.68,20.13,Gurugram
4.5578,7.1407,35.72,18.47,Gurugram
6.78,7.5799,34.48,27.51,Gurugram
5.8898,7.3226,34.4,25.31,Gurugram
7.1842,7.3668,34.94,22.99,Gurugram
7.5259,7.6867,34.91,24.14,Gurugram
7.4484,7.4902,35.02,23.61,Gurugram
7.601,7.7546,36.19,21.66,Gurugram
7.6154,7.6891,38.06,16.32,Gurugram
5.6153,7.1717,38.5,18.95,Gurugram
6.4848,7.1383,36.08,30.06,Gurugram
6.6434,7.3042,36.85,28.69,Gurugram
7.127,7.2874,36.87,32.89,Gurugram
5.4209,7.1726,34.89,40.49,Gurugram
3.594,7.279,32.71,46.07,Gurugram
5.6796,7.1702,33.28,46.69,Gurugram
6.8261,7.1657,33.6,44.97,Gurugram
6.7637,6.8726,34.87,35.5,Gurugram
6.7958,6.9204,36.52,28.96,Gurugram
5.9486,6.3629,36.98,26.46,Gurugram
6.001,6.235,36.91,32.18,Gurugram
5.232,6.7481,35.2,41.8,Gurugram
6.3653,7.4818,34.95,43.09,Gurugram
6.6617,7.2866,36.57,35.36,Gurugram
5.1763,6.9986,32.71,44.91,Gurugram
2.4451,5.9921,29.58,61.75,Gurugram
6.9922,7.1299,32.42,44.94,Gurugram
6.6386,6.8534,33.08,51.76,Gurugram
6.7534,6.8352,34.52,43.98,Gurugram
5.4223,6.7464,34.12,44.12,Gurugram
5.7192,6.7889,33.06,50.85,Gurugram
6.6086,6.9002,33.57,47.78,Gurugram
6.4493,7.0046,33.61,45.88,Gurugram
6.4224,6.9062,35.04,44.53,Gurugram
6.1274,6.5215,35.43,42.51,Gurugram
5.7247,6.1776,35.3,46.06,Gurugram
2.8704,6.1075,33.19,54.33,Gurugram
4.6613,6.1685,31.78,60.9,Gurugram
5.7461,6.5047,32.74,55.11,Gurugram
3.949,6.4783,32.78,55.2,Gurugram
1.2974,6.9593,30.2,69.91,Gurugram
1.3853,7.2898,28.46,79.92,Gurugram
1.583,7.2288,27.98,85.91,Gurugram
6.5568,7.0896,28.97,79.18,Gurugram
6.7502,6.9295,30.39,70.23,Gurugram
6.8323,6.9223,31.39,62.75,Gurugram
5.4463,6.9151,31.7,61.12,Gurugram
4.8996,6.5724,31.19,66.98,Gurugram
3.4574,6.6593,31.25,67.86,Gurugram
5.1187,6.4289,31.12,66.33,Gurugram
3.5484,6.8117,30.97,67.03,Gurugram
5.7415,7.1071,31.02,68.74,Gurugram
6.1296,7.2845,30.84,70.56,Gurugram
6.1366,6.9814,30.52,72.98,Gurugram
5.3892,6.8419,30.69,68.97,Gurugram
6.1519,6.5971,30.76,67.72,Gurugram
5.4598,7.2228,29.83,72.17,Gurugram
6.2388,7.3459,29.71,72.45,Gurugram
6.1908,7.4268,29.36,67.07,Gurugram
4.1405,7.2749,29.1,69.37,Gurugram
4.2338,7.2766,30.28,67.31,Gurugram
3.9427,6.7728,29.83,68.76,Gurugram
3.7495,6.3139,29.23,70.72,Gurugram
5.5526,6.6979,28.62,71.69,Gurugram
6.5842,6.8976,29.49,69.26,Gurugram
5.5889,6.5578,31.97,58.95,Gurugram
4.3634,6.149,32.37,60.04,Gurugram
3.6602,6.0893,32.33,61.46,Gurugram
3.1296,5.959,32.06,63.17,Gurugram
1.9596,6.0799,30.13,72.52,Gurugram
3.1253,6.2376,29.38,75.23,Gurugram
4.4234,5.9311,30.75,65.02,Gurugram
2.4883,6.1286,30.05,70.49,Gurugram
5.8306,6.6084,29.85,74.54,Gurugram
5.615,6.4236,30.64,68.8,Gurugram
3.2633,6.059,31.24,69.95,Gurugram
3.055,5.9729,30.16,75.99,Gurugram
4.6742,6.4027,29.4,78.58,Gurugram
5.119,6.1366,30.36,71.2,Gurugram
5.5039,6.4627,31.11,67.69,Gurugram
6.2837,6.6922,30.33,68.51,Gurugram
5.6976,6.3353,29.78,67.86,Gurugram
4.6495,6.1322,29.22,69.86,Gurugram
5.6323,6.4325,29.45,66.35,Gurugram
5.563,6.1222,28.72,75.15,Gurugram
6.2626,6.4253,28.65,74.09,Gurugram
6.739,6.7682,29.2,67.29,Gurugram
6.2316,6.4584,29.67,65.06,Gurugram
6.3168,6.4822,30.13,62.72,Gurugram
5.6326,6.3012,30.48,63.36,Gurugram
6.4399,6.517,30.36,64.34,Gurugram
6.1634,6.318,30.51,60.99,Gurugram
6.4474,6.5424,29.64,59.96,Gurugram
6.647,6.6617,29.48,54.49,Gurugram
6.0161,6.042,29.16,52.13,Gurugram
5.9974,6.0641,29.23,52.93,Gurugram
6.3276,6.3566,28.75,50.52,Gurugram
6.6809,6.6895,28.79,47.45,Gurugram
6.5654,6.5722,29.29,48.29,Gurugram
6.5196,6.5345,29.55,50.56,Gurugram
6.4608,6.4646,29.71,48.53,Gurugram
6.5239,6.5278,29.73,45.69,Gurugram
6.527,6.5347,29.53,44.28,Gurugram
6.3086,6.3374,29.6,45.64,Gurugram
5.4163,5.7502,30.84,43.29,Gurugram
5.5351,5.669,31.21,40.23,Gurugram
5.6381,5.8498,32.08,37.25,Gurugram
5.6004,5.7142,31.56,37.91,Gurugram
5.1211,5.304,30.87,42.38,Gurugram
4.9198,5.1722,31.45,43.9,Gurugram
4.356,5.5598,29.39,56.53,Gurugram
4.955,5.6971,29.17,67.44,Gurugram
5.2198,5.669,30.9,62.0,Gurugram
5.19,5.5932,30.61,60.4,Gurugram
5.4528,5.8968,30.44,60.76,Gurugram
5.1538,5.837,28.06,60.48,Gurugram
6.0797,6.0974,27.29,45.81,Gurugram
6.0134,6.0221,27.34,41.74,Gurugram
5.8205,5.9023,28.93,43.01,Gurugram
5.5013,5.8303,28.64,46.7,Gurugram
5.7974,5.7982,28.32,45.22,Gurugram
5.867,5.8733,27.65,41.41,Gurugram
5.9933,6.0058,27.15,41.66,Gurugram
5.8874,5.8949,27.95,36.83,Gurugram
6.0046,6.0221,27.99,34.08,Gurugram
5.8889,5.9028,28.88,32.21,Gurugram
5.8274,5.837,29.23,31.67,Gurugram
5.681,5.6926,29.79,33.08,Gurugram
5.3467,5.364,28.73,38.52,Gurugram
5.0861,5.1175,28.31,41.55,Gurugram
5.2591,5.2817,28.2,38.82,Gurugram
5.6609,5.6762,28.8,33.64,Gurugram
5.7893,5.7974,28.87,32.58,Gurugram
5.5973,5.6066,28.9,35.79,Gurugram
5.3438,5.4012,28.54,37.02,Gurugram
4.6466,4.8002,28.79,43.44,Gurugram
4.1539,4.3022,27.47,41.89,Gurugram
4.3598,4.3733,27.29,44.02,Gurugram
4.5984,4.6718,28.15,38.13,Gurugram
4.4909,4.5497,28.38,36.7,Gurugram
4.3697,4.3915,28.47,37.56,Gurugram
4.3632,4.4246,29.14,34.38,Gurugram
4.3742,4.3978,29.07,33.78,Gurugram
4.3166,4.4225,25.58,39.02,Gurugram
4.6294,4.6378,23.96,32.3,Gurugram
5.0309,5.0688,24.09,27.21,Gurugram
4.6882,4.7556,25.17,29.17,Gurugram
4.4921,4.5576,25.23,30.78,Gurugram
4.0078,4.0644,24.69,34.59,Gurugram
3.9305,3.9965,23.46,40.52,Gurugram
2.9609,4.1196,19.88,57.79,Gurugram
4.1549,4.2127,21.27,57.35,Gurugram
4.3927,4.41,22.5,44.29,Gurugram
4.0886,4.2206,23.37,37.47,Gurugram
4.1623,4.2636,23.31,38.1,Gurugram
4.0598,4.1436,23.83,40.5,Gurugram
3.4409,3.6768,24.58,40.73,Gurugram
3.6984,3.7723,24.31,42.57,Gurugram
2.3052,3.775,24.92,40.81,Gurugram
3.6312,3.732,23.55,38.45,Gurugram
3.2794,3.3406,21.87,37.36,Gurugram
3.0638,3.3082,22.37,42.03,Gurugram
3.2686,3.4229,23.46,42.84,Gurugram
3.024,3.211,23.6,43.07,Gurugram
3.4896,3.5042,22.26,36.98,Gurugram
3.918,3.9204,21.95,38.92,Gurugram
3.4512,3.589,22.66,39.1,Gurugram
3.2402,3.2719,22.8,46.84,Gurugram
3.3821,3.3936,24.08,37.27,Gurugram
3.3842,3.4186,21.8,36.78,Gurugram
4.3358,4.3447,19.62,22.89,Gurugram
4.3394,4.3526,19.13,24.15,Gurugram
3.7978,3.8004,19.53,22.74,Gurugram
3.6528,3.6634,20.33,22.61,Gurugram
3.5734,3.5918,20.38,27.95,Gurugram
3.3139,3.4195,20.6,25.28,Gurugram
3.173,3.2014,20.93,21.77,Gurugram
3.341,3.373,19.41,27.45,Gurugram
3.4949,3.7246,20.39,28.99,Gurugram
2.8414,3.2767,20.55,34.3,Gurugram
2.7149,3.2998,19.47,39.62,Gurugram
2.2697,2.5313,19.77,48.5,Gurugram
2.6035,2.772,19.92,39.95,Gurugram
2.7847,2.9014,19.96,35.6,Gurugram
2.3525,2.9498,19.86,39.72,Gurugram
2.1862,2.4156,17.6,39.1,Gurugram
2.9359,3.0763,17.79,40.99,Gurugram
3.6269,3.6571,18.52,34.2,Gurugram
